gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,6,Red,top,YSKM,oe:player:7deb8d68aef0757c10381b599f855de,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Fiora,Yuumi,Lucian,Zeri,Vi,Kindred,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,7,Red,jng,gideon,oe:player:fbcff2ba1ed74db00928574990c96dc,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Viego,Yuumi,Lucian,Zeri,Vi,Kindred,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,8,Red,mid,neny,oe:player:7a8be380f1f059a62c13e9969628588,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Ryze,Yuumi,Lucian,Zeri,Vi,Kindred,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,9,Red,bot,Ahn,oe:player:66d0ff0f8f9b5296770c1dbda549950,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Draven,Yuumi,Lucian,Zeri,Vi,Kindred,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,10,Red,sup,Wink,oe:player:39d7885ab4602a7f8d202883d253f5e,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Blitzcrank,Yuumi,Lucian,Zeri,Vi,Kindred,1529
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,1,Blue,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Gwen,Syndra,Lucian,Renekton,Jayce,Azir,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,2,Blue,jng,Xun,oe:player:fbdc4428b2d095c83aebeed5da4e4b2,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Wukong,Syndra,Lucian,Renekton,Jayce,Azir,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,3,Blue,mid,Yagao,oe:player:4860d1660ce45bd15a600953309135c,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Ahri,Syndra,Lucian,Renekton,Jayce,Azir,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,4,Blue,bot,Elk,oe:player:a58a0d41103cdc5b58cbb547eeaca2d,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Zeri,Syndra,Lucian,Renekton,Jayce,Azir,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,5,Blue,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Lulu,Syndra,Lucian,Renekton,Jayce,Azir,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,6,Red,top,369,oe:player:0c74b7f78409a4022a2c4c5a5ca3ee1,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Aatrox,Ryze,Kindred,K'Sante,Galio,Fiora,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,7,Red,jng,Kanavi,oe:player:41deab55354f57a94135989133f9968,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Maokai,Ryze,Kindred,K'Sante,Galio,Fiora,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,8,Red,mid,knight,oe:player:ed29043422e3c515e1cb292464b990b,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Akali,Ryze,Kindred,K'Sante,Galio,Fiora,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,9,Red,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Sivir,Ryze,Kindred,K'Sante,Galio,Fiora,2436
9693-9693_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 11:39,1,13.01,10,Red,sup,Missing,oe:player:2aee0be2678ee90fd327cc186826438,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Yuumi,Ryze,Kindred,K'Sante,Galio,Fiora,2436
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,1,Blue,top,369,oe:player:0c74b7f78409a4022a2c4c5a5ca3ee1,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Kennen,Ryze,Kindred,K'Sante,Ahri,Fiora,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,2,Blue,jng,Kanavi,oe:player:41deab55354f57a94135989133f9968,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Wukong,Ryze,Kindred,K'Sante,Ahri,Fiora,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,3,Blue,mid,knight,oe:player:ed29043422e3c515e1cb292464b990b,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Lissandra,Ryze,Kindred,K'Sante,Ahri,Fiora,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,4,Blue,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Zeri,Ryze,Kindred,K'Sante,Ahri,Fiora,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,5,Blue,sup,Missing,oe:player:2aee0be2678ee90fd327cc186826438,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Lulu,Ryze,Kindred,K'Sante,Ahri,Fiora,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,6,Red,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Gnar,Syndra,Maokai,Renekton,Akali,LeBlanc,1882
